Row,Defect,Drilling_Stress,Milling_Stress,Assembly_Stress,Max_Stress,Most_Abnormal_Zone,Zone_Status,Likely_Zone,Zone_Confidence,Drilling_Probability,Milling_Probability,Assembly_Probability,Evidence
1665,Crack,0.9941547622748228,0.917699429900003,1.0934561601766568,1.0934561601766568,Assembly,Assembly,Assembly,Low,0.38946933197555106,0.18040108325884013,0.4301295847656088,Assembly stress = 1.09; Drilling stress = 0.99
1666,Crack,0.2592357732671026,0.8893479678392939,0.6404356153070493,0.8893479678392939,Milling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1667,Crack,0.991565986580387,0.9192085410890236,1.0827156208195574,1.0827156208195574,Assembly,Assembly,Assembly,Low,0.39054382823367834,0.18164161058985195,0.4278145611764696,Assembly stress = 1.08; Drilling stress = 0.99
1668,Crack,1.177235785290106,0.7453312802936733,0.9145415769044508,1.177235785290106,Drilling,Drilling,Drilling,Medium,0.47764326319557365,0.1550600493414974,0.367296687462929,Drilling stress = 1.18; Assembly stress = 0.91
1669,Crack,0.50290131502143,0.579177859737352,0.3236143503685495,0.579177859737352,Milling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1670,Crack,0.3042622429458129,0.6825387868467664,0.740983225823862,0.740983225823862,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1671,Crack,1.1919988537657336,1.0380332754688666,0.9126678974903044,1.1919988537657336,Drilling,Drilling,Drilling,Medium,0.4576784029814085,0.19618419762657083,0.34613739939202076,Drilling stress = 1.19; Assembly stress = 0.91
1672,Crack,1.228866406265967,1.1321144672726111,1.5039426599703742,1.5039426599703742,Assembly,Assembly,Assembly,Medium,0.360942857006593,0.16382856331183224,0.4752285796815747,Assembly stress = 1.50; Drilling stress = 1.23
1673,Crack,0.2897493605072993,0.6880338662432848,0.8082262206735494,0.8082262206735494,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1674,Crack,0.5258838875419471,0.5697507863987643,0.356221428472379,0.5697507863987643,Milling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1675,Crack,1.4328121784145715,0.577718996418854,0.9012794202109876,1.4328121784145715,Drilling,Drilling,Drilling,High,0.5554551867337695,0.1181018716778197,0.32644294158841075,Drilling stress = 1.43; Assembly stress = 0.90
1676,Crack,1.3414129465640652,1.2460902522098172,1.667285160229971,1.667285160229971,Assembly,Assembly,Assembly,Medium,0.35214018896994204,0.16006171914615552,0.48779809188390255,Assembly stress = 1.67; Drilling stress = 1.34
1677,Crack,1.3489504912032948,1.2518279059413877,1.668400073523561,1.668400073523561,Assembly,Assembly,Assembly,Medium,0.3533453589877962,0.16032069723505565,0.48633394377714806,Assembly stress = 1.67; Drilling stress = 1.35
1678,Crack,0.2986916282662929,0.4687056438211651,0.6705273808951215,0.6705273808951215,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1679,Crack,1.000598417282118,0.712927610200586,0.9058540958695698,1.000598417282118,Drilling,Drilling,Drilling,Low,0.43771152761286325,0.16414367198364704,0.3981448004034898,Drilling stress = 1.00; Assembly stress = 0.91
1680,Crack,1.4440515811067431,0.7655210420073554,0.9189110427589248,1.4440515811067431,Drilling,Drilling,Drilling,High,0.5419604092202447,0.13748505680146517,0.32055453397829015,Drilling stress = 1.44; Assembly stress = 0.92
1681,Crack,0.5028334116021336,0.456324671053414,0.8957003508277458,0.8957003508277458,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1682,Crack,0.4776490348371068,0.5169601717066047,0.7616860232212506,0.7616860232212506,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1683,Crack,1.0259948427872585,0.832924771809203,1.1464844067791409,1.1464844067791409,Assembly,Assembly,Assembly,Low,0.3936603255475348,0.1622715502492199,0.4440681242032452,Assembly stress = 1.15; Drilling stress = 1.03
1684,Crack,1.4674097675518638,0.60558377871125,0.9079293619040548,1.4674097675518638,Drilling,Drilling,Drilling,High,0.560946567751367,0.11846913789332637,0.32058429435530666,Drilling stress = 1.47; Assembly stress = 0.91
1685,Crack,0.714284782179923,0.5981832841603747,0.6033626928302476,0.714284782179923,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1686,Crack,1.3506766255996383,0.6860961658117442,0.9183003337480922,1.3506766255996383,Drilling,Drilling,Drilling,Medium,0.5246012280619567,0.13495086753795812,0.3404479044000851,Drilling stress = 1.35; Assembly stress = 0.92
1687,Crack,1.2250374766627514,1.129078923675758,1.4935536131594302,1.4935536131594302,Assembly,Assembly,Assembly,Medium,0.362020708821415,0.16444820926379228,0.47353108191479276,Assembly stress = 1.49; Drilling stress = 1.23
1688,Crack,0.2491743388430028,0.514719643826611,0.6465358951101249,0.6465358951101249,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1689,Crack,0.5147415263824453,0.5576194377731081,0.3690438806176329,0.5576194377731081,Milling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1690,Crack,1.3185167635681605,1.221145531967771,1.645423072947524,1.645423072947524,Assembly,Assembly,Assembly,Medium,0.3520778239999405,0.15970587302577793,0.4882163029742816,Assembly stress = 1.65; Drilling stress = 1.32
1691,Crack,0.3148927871858657,0.429851512388585,0.8152098527792558,0.8152098527792558,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1692,Crack,1.0328213586036736,0.5562378655025201,0.9063568411122946,1.0328213586036736,Drilling,Drilling,Drilling,Low,0.45627599347748565,0.14165112971165414,0.40207287681086024,Drilling stress = 1.03; Assembly stress = 0.91
1693,Crack,0.2684774182256744,0.1260580773737354,0.384430779280685,0.384430779280685,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1694,Crack,0.7118881840971135,0.6958297729810561,0.59317220971173,0.7118881840971135,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1695,Crack,1.10188995327914,1.0145575203459651,1.2842840921752496,1.2842840921752496,Assembly,Assembly,Assembly,Low,0.37618404284927,0.1723623394681456,0.45145361768258435,Assembly stress = 1.28; Drilling stress = 1.10
1696,Crack,0.5439216014054407,0.224028151873999,0.3872904205401219,0.5439216014054407,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1697,Crack,1.0170086994624836,0.7277989508587855,1.1393068104756896,1.1393068104756896,Assembly,Assembly,Assembly,Low,0.39927834385293054,0.14950081557325118,0.45122084057381834,Assembly stress = 1.14; Drilling stress = 1.02
1698,Crack,1.44892673168149,0.6863103828640349,0.9149454109515,1.44892673168149,Drilling,Drilling,Drilling,High,0.5496050346162483,0.12818010843040661,0.32221485695334495,Drilling stress = 1.45; Assembly stress = 0.91
1699,Crack,0.7248831399419942,0.7030851985110533,0.6622456657481124,0.7248831399419942,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1700,Crack,1.4472646114104653,1.5610950739283973,0.9112710375313195,1.5610950739283973,Milling,Milling,Drilling,Medium,0.46612033714347917,0.26115839926175977,0.27272126359476107,Drilling stress = 1.45; Assembly stress = 0.91
1701,Crack,0.917668238656648,0.7104283748509708,0.8558429634883198,0.917668238656648,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1702,Crack,1.3511654145742806,1.2549565510893568,1.668270380989216,1.668270380989216,Assembly,Assembly,Assembly,Medium,0.35369635846214253,0.1606266545920187,0.48567698694583883,Assembly stress = 1.67; Drilling stress = 1.35
1703,Crack,1.0984693423454233,1.009337338026412,1.2684908666896428,1.2684908666896428,Assembly,Assembly,Assembly,Low,0.3784019126362775,0.17306681032933843,0.4485312770343841,Assembly stress = 1.27; Drilling stress = 1.10
1704,Crack,1.0661731032779236,0.6999914346424682,0.8736457922998997,1.0661731032779236,Drilling,Drilling,Drilling,Low,0.460498400612927,0.1596494594547338,0.3798521399323391,Drilling stress = 1.07; Assembly stress = 0.87
1705,Crack,0.7324615358804679,0.5221515090642473,0.6366706629866448,0.7324615358804679,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1706,Crack,1.0635480477094017,0.9790620126948842,1.2205914407209022,1.2205914407209022,Assembly,Assembly,Assembly,Low,0.3802948505644196,0.17474253443715218,0.44496261499842826,Assembly stress = 1.22; Drilling stress = 1.06
1707,Crack,1.3620412905813974,0.7021135517293373,0.9186806835667256,1.3620412905813974,Drilling,Drilling,Drilling,Medium,0.5262271499654639,0.13600042954479966,0.33777242048973627,Drilling stress = 1.36; Assembly stress = 0.92
1708,Crack,0.3028473322700091,0.0567052814922115,0.4243073886747396,0.4243073886747396,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
