Demand,Entities In Part 1,Part 1 VA Time,Drilling Queue Time,Part 1 Storage Time,Part 1 Stored,Entities In Part 2,Part 2 VA Time,Milling Queue Time,Part 2 Storage Time,Part 2 Stored,Entities Out,Assembly Time,Assembly Queue Time,Drilling Utilization,Milling Utilization,Assembly Utilization,WIP_Stored,Drilling_Util_Pct,Milling_Util_Pct,Assembly_Util_Pct,Drilling_Score,Milling_Score,Assembly_Score,Bottleneck_Zone,Bottleneck_Score,Throughput_Gap,Throughput_Loss_Percent
15,6750,3.001927,0.21637,19.038573,189,6579,2.994752,0.039446,1.72899,18,6561,3.002265,0.817752,0.468565,0.342067,0.684223,207.0,46.856500000000004,34.2067,68.4223,0.47161180161588495,0.3538798958994164,0.9623376812563578,Assembly,0.9623376812563578,189,2.8000000000000003
2,1438,3.019039,0.0,39.826745,8,1470,2.997008,0.0,1.191979,40,1430,3.010241,0.0,0.100503,0.076377,0.149742,48.0,10.0503,7.6377,14.974199999999998,0.100503,0.076377,0.149742,Assembly,0.149742,8,0.5563282336578581
15,5768,2.998306,0.060379,3.113737,31,5880,3.002582,0.008229,15.247569,143,5737,3.003927,0.323694,0.399941,0.306514,0.598931,174.0,39.994099999999996,30.651400000000002,59.8931,0.4007912233894047,0.30897833910551886,0.7090182313789455,Assembly,0.7090182313789455,31,0.5374479889042996
5,3680,3.001688,0.000585,19.716896,65,3620,3.003379,0.0,4.788556,5,3615,2.999591,0.040224,0.255449,0.188754,0.376634,70.0,25.5449,18.8754,37.6634,0.25545723764359796,0.18875399999999998,0.39031404595385366,Assembly,0.39031404595385366,65,1.766304347826087
14,13050,3.001387,7.455477,180.841835,3489,13212,2.998427,0.952998,179.12931,3651,9561,2.99881,2.911755,0.904329,0.686479,0.996634,7140.0,90.4329,68.64789999999999,99.6634,1.009312867314289,0.9718733661296968,1.9869119983682162,Assembly,1.9869119983682162,3489,26.73563218390805
13,5536,3.015683,0.091219,8.234101,16,5696,3.001041,0.005092,19.587797,176,5520,3.003407,0.38252,0.386454,0.296779,0.576039,192.0,38.6454,29.6779,57.603899999999996,0.3877384950621593,0.298303901534245,0.7061327544318838,Assembly,0.7061327544318838,16,0.2890173410404624
14,10052,2.994976,1.159778,42.884169,633,10248,3.002703,0.362291,61.865238,829,9419,3.007877,2.797514,0.694401,0.533554,0.985028,1462.0,69.4401,53.355399999999996,98.50280000000001,0.7107323466953264,0.6420493067052544,1.9364530217916902,Assembly,1.9364530217916902,633,6.297254277755671
16,9724,2.999838,1.032037,55.042773,1168,8658,2.997506,0.214529,8.943913,102,8556,2.997497,2.237976,0.674937,0.450122,0.891501,1270.0,67.4937,45.0122,89.1501,0.6894695692066969,0.5143670120267175,1.652629046032756,Assembly,1.652629046032756,1168,12.011517893870835
16,8140,3.007745,0.542898,7.396024,77,8272,3.001294,0.108026,14.226949,209,8063,2.999109,1.664486,0.564039,0.43058,0.840543,286.0,56.40389999999999,43.058,84.0543,0.5716837867248725,0.46293055246236264,1.4066290424012045,Assembly,1.4066290424012045,77,0.945945945945946
14,682,2.988411,0.0,12.016986,2,702,2.98843,0.0,4.124204,22,680,2.978478,0.0,0.047178,0.036404,0.070477,24.0,4.7177999999999995,3.6404,7.0477,0.047178,0.036404,0.070477,Assembly,0.070477,2,0.2932551319648094
9,5677,2.998744,0.04874,35.341335,433,5257,2.996947,0.009165,8.048214,13,5244,2.996366,0.239247,0.392803,0.273526,0.546117,446.0,39.280300000000004,27.3526,54.6117,0.3934893294854103,0.2762706430796063,0.6274840931364764,Assembly,0.6274840931364764,433,7.627267923198873
